"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"InvestigationalMedicinalProduct","InvestigationalMedicinalProduct","","","",0,*,"","","","null {[]} {[]}
","","ISO 11615 Investigational Medicinal Product","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"InvestigationalMedicinalProduct.IMPID","InvestigationalMedicinalProduct.IMPID","","","",1,1,"","","","Identifier {[]} {[]}
","The identifier for the Investigational Medicinal Product shall be always specified as text. (11.3.2.2.2)","The identifier for the Investigational Medicinal Product shall be always specified as text. (11.3.2.2.2)","","","","","","","","","",,,,,"",,,,"InvestigationalMedicinalProduct.IMPID",1,1,"",""
"InvestigationalMedicinalProduct.CombinedPharmaceuticalDoseForm","InvestigationalMedicinalProduct.CombinedPharmaceuticalDoseForm","","","",0,1,"","","","CodeableConcept {[]} {[]}
","The combined pharmaceutical dose form shall be specified, where applicable, as described in 9.2.2.2.3 . (11.3.2.2.3)","The combined pharmaceutical dose form shall be specified, where applicable, as described in 9.2.2.2.3 . (11.3.2.2.3)","","","","","","","","","",,,,,"",,,,"InvestigationalMedicinalProduct.CombinedPharmaceuticalDoseForm",0,1,"",""
"InvestigationalMedicinalProduct.SponsorProductCode","InvestigationalMedicinalProduct.SponsorProductCode","","","",0,1,"","","","string {[]} {[]}
","The product code (identifier) for the Investigational Medicinal Product as designated by the sponsor can be specified in text. Either this code or the regulator product code (see 1 1.3.2.2.5 ) shall be specified. (11.3.2.2.4)","The product code (identifier) for the Investigational Medicinal Product as designated by the sponsor can be specified in text. Either this code or the regulator product code (see 1 1.3.2.2.5 ) shall be specified. (11.3.2.2.4)","","","","","","","","","",,,,,"",,,,"InvestigationalMedicinalProduct.SponsorProductCode",0,1,"",""
"InvestigationalMedicinalProduct.RegulatorProductCode","InvestigationalMedicinalProduct.RegulatorProductCode","","","",0,1,"","","","string {[]} {[]}
","The product code (identifier) for the Investigational Medicinal Product as designated by the Medicines Regulatory Agency can be specified in text. Either this code or the sponsor product code (see 11.3. 2.2.4 ) shall be specified. (11.3.2.2.5)","The product code (identifier) for the Investigational Medicinal Product as designated by the Medicines Regulatory Agency can be specified in text. Either this code or the sponsor product code (see 11.3. 2.2.4 ) shall be specified. (11.3.2.2.5)","","","","","","","","","",,,,,"",,,,"InvestigationalMedicinalProduct.RegulatorProductCode",0,1,"",""
"InvestigationalMedicinalProduct.PaediatricUseIndicator","InvestigationalMedicinalProduct.PaediatricUseIndicator","","","",0,1,"","","","CodeableConcept {[]} {[]}
","If the Investigational Medicinal Product refers to a specific paediatric formulation, this can be specified using a controlled vocabulary. A term and a term identifier shall be used. (11.3.2.2.6)","If the Investigational Medicinal Product refers to a specific paediatric formulation, this can be specified using a controlled vocabulary. A term and a term identifier shall be used. (11.3.2.2.6)","","","","","","","","","",,,,,"",,,,"InvestigationalMedicinalProduct.PaediatricUseIndicator",0,1,"",""
"InvestigationalMedicinalProduct.ClinicalTrialStatus","InvestigationalMedicinalProduct.ClinicalTrialStatus","","","",0,1,"","","","CodeableConcept {[]} {[]}
","The status of the clinical trial has to be specified. See ISO / TS 20443 for more information and examples. (11.3.2.2.7)","The status of the clinical trial has to be specified. See ISO / TS 20443 for more information and examples. (11.3.2.2.7)","","","","","","","","","",,,,,"",,,,"InvestigationalMedicinalProduct.ClinicalTrialStatus",0,1,"",""
"InvestigationalMedicinalProduct.OrphanDesignationStatus","InvestigationalMedicinalProduct.OrphanDesignationStatus","","","",0,1,"","","","CodeableConcept {[]} {[]}
","See 9.2.2.2.7 . (11.3.2.2.8)","See 9.2.2.2.7 . (11.3.2.2.8)","","","","","","","","","",,,,,"",,,,"InvestigationalMedicinalProduct.OrphanDesignationStatus",0,1,"",""
"InvestigationalMedicinalProduct.AttachedDocument","InvestigationalMedicinalProduct.AttachedDocument","","","",1,*,"","","","BackboneElement {[]} {[]}
","11.3.2.6","11.3.2.6","","","","","","","","","",,,,,"",,,,"InvestigationalMedicinalProduct.AttachedDocument",1,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"InvestigationalMedicinalProduct.AttachedDocument.id","InvestigationalMedicinalProduct.AttachedDocument.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
