"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"MedicinalProduct","MedicinalProduct","","","",0,*,"","","","null {[]} {[]}
","","ISO 11615 Authorised Medicinal Product","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"MedicinalProduct.MPID","MedicinalProduct.MPID","","","",1,1,"","","","Element {[CanonicalType[http://example.com/fhir/example/StructureDefinition/II]]} {[]}
","This is the MPID for the Medicinal Product, which shall be always specified. It is specified as text. (9.2.2.2.2)","This is the MPID for the Medicinal Product, which shall be always specified. It is specified as text. (9.2.2.2.2)","","","","","","","","","",,,,,"",,,,"MedicinalProduct.MPID",1,1,"",""
"MedicinalProduct.CombinedPharmaceuticalDoseForm","MedicinalProduct.CombinedPharmaceuticalDoseForm","","","",0,1,"","","","Element {[CanonicalType[http://example.com/fhir/example/StructureDefinition/CD]]} {[]}
","The combined pharmaceutical dose form is a single term to describe two or more manufactured items that are intended to be combined in a specific way to produce a single pharmaceutical product. It includes information on the manufactured dose form of each manufactured item and the administrable dose form of the pharmaceutical product. If the Medicinal Product requires description of a combined pharmaceutical dose form, it can be specified here using a term and a term identifier as defined in ISO 11239 and the resulting terminology. (9.2.2.2.3)","The combined pharmaceutical dose form is a single term to describe two or more manufactured items that are intended to be combined in a specific way to produce a single pharmaceutical product. It includes information on the manufactured dose form of each manufactured item and the administrable dose form of the pharmaceutical product. If the Medicinal Product requires description of a combined pharmaceutical dose form, it can be specified here using a term and a term identifier as defined in ISO 11239 and the resulting terminology. (9.2.2.2.3)","","","","","","","","","",,,,,"",,,,"MedicinalProduct.CombinedPharmaceuticalDoseForm",0,1,"",""
"MedicinalProduct.AdditionalMonitoringIndicator","MedicinalProduct.AdditionalMonitoringIndicator","","","",0,1,"","","","Element {[CanonicalType[http://example.com/fhir/example/StructureDefinition/CD]]} {[]}
","If the Medicinal Product is subject to additional monitoring, this can be specified using an appropriate controlled vocabulary. The controlled term and the controlled term identifier shall be specified. (9.2.2.2.4)","If the Medicinal Product is subject to additional monitoring, this can be specified using an appropriate controlled vocabulary. The controlled term and the controlled term identifier shall be specified. (9.2.2.2.4)","","","","","","","","","",,,,,"",,,,"MedicinalProduct.AdditionalMonitoringIndicator",0,1,"",""
"MedicinalProduct.SpecialMeasures","MedicinalProduct.SpecialMeasures","","","",0,*,"","","","Element {[CanonicalType[http://example.com/fhir/example/StructureDefinition/ST]]} {[]}
","If the Medicinal Product is subject to specific special measures, these can be specified using an appropriate controlled vocabulary. The controlled term and the controlled term identifier shall be specified. (9.2.2.2.5)","If the Medicinal Product is subject to specific special measures, these can be specified using an appropriate controlled vocabulary. The controlled term and the controlled term identifier shall be specified. (9.2.2.2.5)","","","","","","","","","",,,,,"",,,,"MedicinalProduct.SpecialMeasures",0,*,"",""
"MedicinalProduct.PaediatricUseIndicator","MedicinalProduct.PaediatricUseIndicator","","","",0,1,"","","","Element {[CanonicalType[http://example.com/fhir/example/StructureDefinition/CD]]} {[]}
","This is a flag that indicates if the Medicinal Product is also authorised for use in children. (9.2.2.2.6)","This is a flag that indicates if the Medicinal Product is also authorised for use in children. (9.2.2.2.6)","","","","","","","","","",,,,,"",,,,"MedicinalProduct.PaediatricUseIndicator",0,1,"",""
"MedicinalProduct.OrphanDesignationStatus","MedicinalProduct.OrphanDesignationStatus","","","",0,1,"","","","Element {[CanonicalType[http://example.com/fhir/example/StructureDefinition/CD]]} {[]}
","The description if the Medicinal Product is subject to orphan designation and intended for the treatment of a rare disease. (9.2.2.2.7)","The description if the Medicinal Product is subject to orphan designation and intended for the treatment of a rare disease. (9.2.2.2.7)","","","","","","","","","",,,,,"",,,,"MedicinalProduct.OrphanDesignationStatus",0,1,"",""
"MedicinalProduct.AttachedDocument","MedicinalProduct.AttachedDocument","","","",1,*,"","","","BackboneElement {[CanonicalType[http://example.com/fhir/example/StructureDefinition/Class]]} {[]}
","9.2.2.11","9.2.2.11","","","","","","","","","",,,,,"",,,,"MedicinalProduct.AttachedDocument",1,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MedicinalProduct.AttachedDocument.id","MedicinalProduct.AttachedDocument.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"MedicinalProduct.AttachedDocument.extension","MedicinalProduct.AttachedDocument.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"MedicinalProduct.AttachedDocument.modifierExtension","MedicinalProduct.AttachedDocument.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"MedicinalProduct.AttachedDocument.Identifier","MedicinalProduct.AttachedDocument.Identifier","","","",1,1,"","","","Element {[CanonicalType[http://example.com/fhir/example/StructureDefinition/II]]} {[]}
","The reference to the regulatory decision document related to the granting of the authorisation or the latest update of the regulated product information shall be specified in text. (9.2.2.11.2)","The reference to the regulatory decision document related to the granting of the authorisation or the latest update of the regulated product information shall be specified in text. (9.2.2.11.2)","","","","","","","","","",,,,,"",,,,"MedicinalProduct.AttachedDocument.Identifier",1,1,"",""
"MedicinalProduct.AttachedDocument.EffectiveDate","MedicinalProduct.AttachedDocument.EffectiveDate","","","",1,1,"","","","Element {[CanonicalType[http://example.com/fhir/example/StructureDefinition/DT]]} {[]}
","The date corresponding to a version of a regulated document containing regulated Medicinal Product information (e.g. elements related to the summary of product characteristics, product labelling). A complete date consisting of day, month and year shall be specified using the ISO 8601 date format. NOTE Document version date corresponds to the tracking versions of a regulated document. It does not correspond to the actual revisions or regulatory timelines that may be captured within a regulated document. (9.2.2.11.3)","The date corresponding to a version of a regulated document containing regulated Medicinal Product information (e.g. elements related to the summary of product characteristics, product labelling). A complete date consisting of day, month and year shall be specified using the ISO 8601 date format. NOTE Document version date corresponds to the tracking versions of a regulated document. It does not correspond to the actual revisions or regulatory timelines that may be captured within a regulated document. (9.2.2.11.3)","","","","","","","","","",,,,,"",,,,"MedicinalProduct.AttachedDocument.EffectiveDate",1,1,"",""
"MedicinalProduct.AttachedDocument.Type","MedicinalProduct.AttachedDocument.Type","","","",1,1,"","","","Element {[CanonicalType[http://example.com/fhir/example/StructureDefinition/CD]]} {[]}
","The type of document that is supporting a version increment shall be specified using an appropriate controlled vocabulary. The controlled term and the controlled term identifier shall be specified. (9.2.2.11.4)","The type of document that is supporting a version increment shall be specified using an appropriate controlled vocabulary. The controlled term and the controlled term identifier shall be specified. (9.2.2.11.4)","","","","","","","","","",,,,,"",,,,"MedicinalProduct.AttachedDocument.Type",1,1,"",""
"MedicinalProduct.AttachedDocument.Content","MedicinalProduct.AttachedDocument.Content","","","",1,1,"","","","Element {[CanonicalType[http://example.com/fhir/example/StructureDefinition/ED]]} {[]}
","The actual document that is supporting a version increment shall be attached. The format of the document attachment shall be specified by regional implementations. (9.2.2.11.5)","The actual document that is supporting a version increment shall be attached. The format of the document attachment shall be specified by regional implementations. (9.2.2.11.5)","","","","","","","","","",,,,,"",,,,"MedicinalProduct.AttachedDocument.Content",1,1,"",""
"MedicinalProduct.AttachedDocument.Language","MedicinalProduct.AttachedDocument.Language","","","",0,1,"","","","Element {[CanonicalType[http://example.com/fhir/example/StructureDefinition/CD]]} {[]}
","This attribute defines the language used for the information related to the regulatory submission. (9.2.2.11.6)","This attribute defines the language used for the information related to the regulatory submission. (9.2.2.11.6)","","","","","","","","","",,,,,"",,,,"MedicinalProduct.AttachedDocument.Language",0,1,"",""
"MedicinalProduct.AttachedDocument.MediaType","MedicinalProduct.AttachedDocument.MediaType","","","",0,1,"","","","Element {[CanonicalType[http://example.com/fhir/example/StructureDefinition/CD]]} {[]}
","This attributes is used to define the graphic media type of the attached document. (9.2.2.11.7)","This attributes is used to define the graphic media type of the attached document. (9.2.2.11.7)","","","","","","","","","",,,,,"",,,,"MedicinalProduct.AttachedDocument.MediaType",0,1,"",""
"MedicinalProduct.AttachedDocument.VersionNumber","MedicinalProduct.AttachedDocument.VersionNumber","","","",0,1,"","","","Element {[CanonicalType[http://example.com/fhir/example/StructureDefinition/ST]]} {[]}
","This is a number identifying a specific version of the attached regulatory document. (9.2.2.11.8)","This is a number identifying a specific version of the attached regulatory document. (9.2.2.11.8)","","","","","","","","","",,,,,"",,,,"MedicinalProduct.AttachedDocument.VersionNumber",0,1,"",""
"MedicinalProduct.AttachedDocument.VersionSetIdentifier","MedicinalProduct.AttachedDocument.VersionSetIdentifier","","","",0,1,"","","","Element {[CanonicalType[http://example.com/fhir/example/StructureDefinition/II]]} {[]}
","This is a number used to group together a set of specific versions of the same regulatory document. (9.2.2.11.9)","This is a number used to group together a set of specific versions of the same regulatory document. (9.2.2.11.9)","","","","","","","","","",,,,,"",,,,"MedicinalProduct.AttachedDocument.VersionSetIdentifier",0,1,"",""
"MedicinalProduct.Contraindication","MedicinalProduct.Contraindication","","","",0,*,"","","","BackboneElement {[CanonicalType[http://example.com/fhir/example/StructureDefinition/Class]]} {[]}
","9.9.2.3","9.9.2.3","","","","","","","","","",,,,,"",,,,"MedicinalProduct.Contraindication",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MedicinalProduct.Contraindication.id","MedicinalProduct.Contraindication.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"MedicinalProduct.Contraindication.extension","MedicinalProduct.Contraindication.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
