/github/workspace/fsh-generated/resources/ImplementationGuide-my-ig.json: line 0, col 0, Error - Conformance resource /github/workspace/fsh-generated/resources/ImplementationGuide-my-ig.json - the canonical URL (http://example.com/fhir/example/ImplementationGuide/my-ig) does not match the URL (http://example.com/fhir/example) (INVALID)
/github/workspace/fsh-generated/resources/ImplementationGuide-my-ig.json: line 0, col 0, Error - Resource id/url mismatch: my-ig/http://example.com/fhir/example (INVARIANT)
/github/workspace/fsh-generated/resources/ImplementationGuide-my-ig.json: line 0, col 0, Error - URL Mismatch http://example.com/fhir/example/ImplementationGuide/my-ig vs http://example.com/fhir/example (BUSINESSRULE)
/github/workspace/fsh-generated/resources/StructureDefinition-AD.json: line 1, col 6690, Warning - value should not start or finish with whitespace ' Address ' (INVALID)
/github/workspace/fsh-generated/resources/StructureDefinition-AD.json: line 1, col 9547, Warning - value should not start or finish with whitespace ' Address ' (INVALID)
/github/workspace/fsh-generated/resources/StructureDefinition-AD.json: line 0, col 0, Warning - The Implementation Guide contains no examples for this data type profile (BUSINESSRULE)
/github/workspace/fsh-generated/resources/StructureDefinition-BL.json: line 1, col 6783, Warning - value should not start or finish with whitespace ' Boolean ' (INVALID)
/github/workspace/fsh-generated/resources/StructureDefinition-BL.json: line 1, col 9733, Warning - value should not start or finish with whitespace ' Boolean ' (INVALID)
/github/workspace/fsh-generated/resources/StructureDefinition-BL.json: line 0, col 0, Warning - The Implementation Guide contains no examples for this data type profile (BUSINESSRULE)
/github/workspace/fsh-generated/resources/StructureDefinition-CD.json: line 1, col 6983, Warning - value should not start or finish with whitespace ' coded ' (INVALID)
/github/workspace/fsh-generated/resources/StructureDefinition-CD.json: line 1, col 10124, Warning - value should not start or finish with whitespace ' coded ' (INVALID)
/github/workspace/fsh-generated/resources/StructureDefinition-CD.json: line 0, col 0, Warning - The Implementation Guide contains no examples for this data type profile (BUSINESSRULE)
/github/workspace/fsh-generated/resources/StructureDefinition-Class.json: line 1, col 6759, Warning - value should not start or finish with whitespace ' group ' (INVALID)
/github/workspace/fsh-generated/resources/StructureDefinition-Class.json: line 1, col 12302, Warning - value should not start or finish with whitespace ' group ' (INVALID)
/github/workspace/fsh-generated/resources/StructureDefinition-Class.json: line 0, col 0, Warning - The Implementation Guide contains no examples for this data type profile (BUSINESSRULE)
/github/workspace/fsh-generated/resources/StructureDefinition-DT.json: line 1, col 6871, Warning - value should not start or finish with whitespace ' Date ' (INVALID)
/github/workspace/fsh-generated/resources/StructureDefinition-DT.json: line 1, col 9915, Warning - value should not start or finish with whitespace ' Date ' (INVALID)
/github/workspace/fsh-generated/resources/StructureDefinition-DT.json: line 0, col 0, Warning - The Implementation Guide contains no examples for this data type profile (BUSINESSRULE)
/github/workspace/fsh-generated/resources/StructureDefinition-ED.json: line 1, col 6939, Warning - value should not start or finish with whitespace ' Encapsulated data ' (INVALID)
/github/workspace/fsh-generated/resources/StructureDefinition-ED.json: line 1, col 10025, Warning - value should not start or finish with whitespace ' Encapsulated data ' (INVALID)
/github/workspace/fsh-generated/resources/StructureDefinition-ED.json: line 0, col 0, Warning - The Implementation Guide contains no examples for this data type profile (BUSINESSRULE)
/github/workspace/fsh-generated/resources/StructureDefinition-II.json: line 1, col 7157, Warning - value should not start or finish with whitespace ' identifier ' (INVALID)
/github/workspace/fsh-generated/resources/StructureDefinition-II.json: line 1, col 10466, Warning - value should not start or finish with whitespace ' identifier ' (INVALID)
/github/workspace/fsh-generated/resources/StructureDefinition-II.json: line 0, col 0, Warning - The Implementation Guide contains no examples for this data type profile (BUSINESSRULE)
/github/workspace/fsh-generated/resources/StructureDefinition-InvestigationalMedicinalProduct.json: line 1, col 1896497, Warning - Constraint failed: eld-20: 'Element names should be simple alphanumerics with a max of 64 characters, or code generation tools may be broken' (INVARIANT)
/github/workspace/fsh-generated/resources/StructureDefinition-InvestigationalMedicinalProduct.json: line 1, col 1897053, Warning - Constraint failed: eld-20: 'Element names should be simple alphanumerics with a max of 64 characters, or code generation tools may be broken' (INVARIANT)
/github/workspace/fsh-generated/resources/StructureDefinition-InvestigationalMedicinalProduct.json: line 1, col 1897782, Warning - Constraint failed: eld-20: 'Element names should be simple alphanumerics with a max of 64 characters, or code generation tools may be broken' (INVARIANT)
/github/workspace/fsh-generated/resources/StructureDefinition-InvestigationalMedicinalProduct.json: line 1, col 1898553, Warning - Constraint failed: eld-20: 'Element names should be simple alphanumerics with a max of 64 characters, or code generation tools may be broken' (INVARIANT)
/github/workspace/fsh-generated/resources/StructureDefinition-InvestigationalMedicinalProduct.json: line 1, col 1899243, Warning - Constraint failed: eld-20: 'Element names should be simple alphanumerics with a max of 64 characters, or code generation tools may be broken' (INVARIANT)
/github/workspace/fsh-generated/resources/StructureDefinition-InvestigationalMedicinalProduct.json: line 1, col 1899774, Warning - Constraint failed: eld-20: 'Element names should be simple alphanumerics with a max of 64 characters, or code generation tools may be broken' (INVARIANT)
/github/workspace/fsh-generated/resources/StructureDefinition-InvestigationalMedicinalProduct.json: line 1, col 1900133, Warning - Constraint failed: eld-20: 'Element names should be simple alphanumerics with a max of 64 characters, or code generation tools may be broken' (INVARIANT)
/github/workspace/fsh-generated/resources/StructureDefinition-InvestigationalMedicinalProduct.json: line 1, col 1900689, Warning - Constraint failed: eld-20: 'Element names should be simple alphanumerics with a max of 64 characters, or code generation tools may be broken' (INVARIANT)
/github/workspace/fsh-generated/resources/StructureDefinition-InvestigationalMedicinalProduct.json: line 1, col 1901352, Warning - Constraint failed: eld-20: 'Element names should be simple alphanumerics with a max of 64 characters, or code generation tools may be broken' (INVARIANT)
/github/workspace/fsh-generated/resources/StructureDefinition-InvestigationalMedicinalProduct.json: line 1, col 1903159, Warning - Constraint failed: eld-20: 'Element names should be simple alphanumerics with a max of 64 characters, or code generation tools may be broken' (INVARIANT)
/github/workspace/fsh-generated/resources/StructureDefinition-InvestigationalMedicinalProduct.json: line 1, col 1905883, Warning - Constraint failed: eld-20: 'Element names should be simple alphanumerics with a max of 64 characters, or code generation tools may be broken' (INVARIANT)
/github/workspace/fsh-generated/resources/StructureDefinition-InvestigationalMedicinalProduct.json: line 1, col 1906579, Warning - Constraint failed: eld-20: 'Element names should be simple alphanumerics with a max of 64 characters, or code generation tools may be broken' (INVARIANT)
/github/workspace/fsh-generated/resources/StructureDefinition-InvestigationalMedicinalProduct.json: line 1, col 1907932, Warning - Constraint failed: eld-20: 'Element names should be simple alphanumerics with a max of 64 characters, or code generation tools may be broken' (INVARIANT)
/github/workspace/fsh-generated/resources/StructureDefinition-InvestigationalMedicinalProduct.json: line 1, col 1908649, Warning - Constraint failed: eld-20: 'Element names should be simple alphanumerics with a max of 64 characters, or code generation tools may be broken' (INVARIANT)
/github/workspace/fsh-generated/resources/StructureDefinition-InvestigationalMedicinalProduct.json: line 1, col 1909304, Warning - Constraint failed: eld-20: 'Element names should be simple alphanumerics with a max of 64 characters, or code generation tools may be broken' (INVARIANT)
