"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"MedicinalProduct","MedicinalProduct","","","",0,*,"","","","","","ISO 11615 Authorised Medicinal Product (test)","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"MedicinalProduct.MPID","MedicinalProduct.MPID","","","",1,1,"","","","Identifier {[]} {[]}
","9.2.2.2.2","9.2.2.2.2","","","","","","","","","",,,,,"",,,,"MedicinalProduct.MPID",1,1,"",""
"MedicinalProduct.CombinedPharmaceuticalDoseForm","MedicinalProduct.CombinedPharmaceuticalDoseForm","","","",0,1,"","","","CodeableConcept {[]} {[]}
","9.2.2.2.3","9.2.2.2.3","","","","","","","","","",,,,,"",,,,"MedicinalProduct.CombinedPharmaceuticalDoseForm",0,1,"",""
"MedicinalProduct.AdditionalMonitoringIndicator","MedicinalProduct.AdditionalMonitoringIndicator","","","",0,1,"","","","CodeableConcept {[]} {[]}
","9.2.2.2.4","9.2.2.2.4","","","","","","","","","",,,,,"",,,,"MedicinalProduct.AdditionalMonitoringIndicator",0,1,"",""
"MedicinalProduct.SpecialMeasures","MedicinalProduct.SpecialMeasures","","","",0,*,"","","","string {[]} {[]}
","9.2.2.2.5","9.2.2.2.5","","","","","","","","","",,,,,"",,,,"MedicinalProduct.SpecialMeasures",0,*,"",""
"MedicinalProduct.PaediatricUseIndicator","MedicinalProduct.PaediatricUseIndicator","","","",0,1,"","","","CodeableConcept {[]} {[]}
","9.2.2.2.6","9.2.2.2.6","","","","","","","","","",,,,,"",,,,"MedicinalProduct.PaediatricUseIndicator",0,1,"",""
"MedicinalProduct.OrphanDesignationStatus","MedicinalProduct.OrphanDesignationStatus","","","",0,1,"","","","CodeableConcept {[]} {[]}
","9.2.2.2.7","9.2.2.2.7","","","","","","","","","",,,,,"",,,,"MedicinalProduct.OrphanDesignationStatus",0,1,"",""
"MedicinalProduct.AttachedDocument","MedicinalProduct.AttachedDocument","","","",1,*,"","","","BackboneElement {[]} {[]}
","9.2.2.11","9.2.2.11","","","","","","","","","",,,,,"",,,,"MedicinalProduct.AttachedDocument",1,*,"",""
"MedicinalProduct.AttachedDocument.Identifier","MedicinalProduct.AttachedDocument.Identifier","","","",1,1,"","","","Identifier {[]} {[]}
","9.2.2.11.2","9.2.2.11.2","","","","","","","","","",,,,,"",,,,"MedicinalProduct.AttachedDocument.Identifier",1,1,"",""
"MedicinalProduct.AttachedDocument.EffectiveDate","MedicinalProduct.AttachedDocument.EffectiveDate","","","",1,1,"","","","date {[]} {[]}
","9.2.2.11.3","9.2.2.11.3","","","","","","","","","",,,,,"",,,,"MedicinalProduct.AttachedDocument.EffectiveDate",1,1,"",""
"MedicinalProduct.AttachedDocument.Type","MedicinalProduct.AttachedDocument.Type","","","",1,1,"","","","CodeableConcept {[]} {[]}
","9.2.2.11.4","9.2.2.11.4","","","","","","","","","",,,,,"",,,,"MedicinalProduct.AttachedDocument.Type",1,1,"",""
"MedicinalProduct.AttachedDocument.Content","MedicinalProduct.AttachedDocument.Content","","","",1,1,"","","","base64Binary {[]} {[]}
","9.2.2.11.5","9.2.2.11.5","","","","","","","","","",,,,,"",,,,"MedicinalProduct.AttachedDocument.Content",1,1,"",""
"MedicinalProduct.AttachedDocument.Language","MedicinalProduct.AttachedDocument.Language","","","",0,1,"","","","CodeableConcept {[]} {[]}
","9.2.2.11.6","9.2.2.11.6","","","","","","","","","",,,,,"",,,,"MedicinalProduct.AttachedDocument.Language",0,1,"",""
"MedicinalProduct.AttachedDocument.MediaType","MedicinalProduct.AttachedDocument.MediaType","","","",0,1,"","","","CodeableConcept {[]} {[]}
","9.2.2.11.7","9.2.2.11.7","","","","","","","","","",,,,,"",,,,"MedicinalProduct.AttachedDocument.MediaType",0,1,"",""
"MedicinalProduct.AttachedDocument.VersionNumber","MedicinalProduct.AttachedDocument.VersionNumber","","","",0,1,"","","","string {[]} {[]}
","9.2.2.11.8","9.2.2.11.8","","","","","","","","","",,,,,"",,,,"MedicinalProduct.AttachedDocument.VersionNumber",0,1,"",""
"MedicinalProduct.AttachedDocument.VersionSetIdentifier","MedicinalProduct.AttachedDocument.VersionSetIdentifier","","","",0,1,"","","","Identifier {[]} {[]}
","9.2.2.11.9","9.2.2.11.9","","","","","","","","","",,,,,"",,,,"MedicinalProduct.AttachedDocument.VersionSetIdentifier",0,1,"",""
"MedicinalProduct.Contraindication","MedicinalProduct.Contraindication","","","",0,*,"","","","BackboneElement {[]} {[]}
","9.9.2.3","9.9.2.3","","","","","","","","","",,,,,"",,,,"MedicinalProduct.Contraindication",0,*,"",""
"MedicinalProduct.Contraindication.ContraindicationsText","MedicinalProduct.Contraindication.ContraindicationsText","","","",1,1,"","","","string {[]} {[]}
","9.9.2.3.2","9.9.2.3.2","","","","","","","","","",,,,,"",,,,"MedicinalProduct.Contraindication.ContraindicationsText",1,1,"",""
"MedicinalProduct.Contraindication.ContraindicationsAsDisease-Symptom-Procedure","MedicinalProduct.Contraindication.ContraindicationsAsDisease-Symptom-Procedure","","","",0,1,"","","","CodeableConcept {[]} {[]}
","9.9.2.3.3","9.9.2.3.3","","","","","","","","","",,,,,"",,,,"MedicinalProduct.Contraindication.ContraindicationsAsDisease-Symptom-Procedure",0,1,"",""
"MedicinalProduct.Contraindication.DiseaseStatus","MedicinalProduct.Contraindication.DiseaseStatus","","","",0,1,"","","","CodeableConcept {[]} {[]}
","9.9.2.3.4","9.9.2.3.4","","","","","","","","","",,,,,"",,,,"MedicinalProduct.Contraindication.DiseaseStatus",0,1,"",""
"MedicinalProduct.Contraindication.Comorbidity","MedicinalProduct.Contraindication.Comorbidity","","","",0,*,"","","","CodeableConcept {[]} {[]}
","9.9.2.3.5","9.9.2.3.5","","","","","","","","","",,,,,"",,,,"MedicinalProduct.Contraindication.Comorbidity",0,*,"",""
"MedicinalProduct.Contraindication.OtherTherapySpecifics","MedicinalProduct.Contraindication.OtherTherapySpecifics","","","",0,*,"","","","BackboneElement {[]} {[]}
","9.9.2.6","9.9.2.6","","","","","","","","","",,,,,"",,,,"MedicinalProduct.Contraindication.OtherTherapySpecifics",0,*,"",""
"MedicinalProduct.Contraindication.OtherTherapySpecifics.TherapyRelationshipType","MedicinalProduct.Contraindication.OtherTherapySpecifics.TherapyRelationshipType","","","",1,1,"","","","CodeableConcept {[]} {[]}
","9.9.2.6.2","9.9.2.6.2","","","","","","","","","",,,,,"",,,,"MedicinalProduct.Contraindication.OtherTherapySpecifics.TherapyRelationshipType",1,1,"",""
"MedicinalProduct.Contraindication.OtherTherapySpecifics.Medication","MedicinalProduct.Contraindication.OtherTherapySpecifics.Medication","","","",1,1,"","","","CodeableConcept {[]} {[]}
","9.9.2.6.3","9.9.2.6.3","","","","","","","","","",,,,,"",,,,"MedicinalProduct.Contraindication.OtherTherapySpecifics.Medication",1,1,"",""
"MedicinalProduct.Contraindication.PopulationSpecifics","MedicinalProduct.Contraindication.PopulationSpecifics","","","",0,*,"","","","BackboneElement {[]} {[]}
","9.9.2.5","9.9.2.5","","","","","","","","","",,,,,"",,,,"MedicinalProduct.Contraindication.PopulationSpecifics",0,*,"",""
"MedicinalProduct.Contraindication.PopulationSpecifics.Age","MedicinalProduct.Contraindication.PopulationSpecifics.Age","","","",0,1,"","","","CodeableConcept {[]} {[]}
","9.9.2.5.2","9.9.2.5.2","","","","","","","","","",,,,,"",,,,"MedicinalProduct.Contraindication.PopulationSpecifics.Age",0,1,"",""
"MedicinalProduct.Contraindication.PopulationSpecifics.AgeRangeLow","MedicinalProduct.Contraindication.PopulationSpecifics.AgeRangeLow","","","",0,1,"","","","Quantity {[]} {[]}
","9.9.2.5.3","9.9.2.5.3","","","","","","","","","",,,,,"",,,,"MedicinalProduct.Contraindication.PopulationSpecifics.AgeRangeLow",0,1,"",""
"MedicinalProduct.Contraindication.PopulationSpecifics.AgeRangeHigh","MedicinalProduct.Contraindication.PopulationSpecifics.AgeRangeHigh","","","",0,1,"","","","Quantity {[]} {[]}
","9.9.2.5.4","9.9.2.5.4","","","","","","","","","",,,,,"",,,,"MedicinalProduct.Contraindication.PopulationSpecifics.AgeRangeHigh",0,1,"",""
"MedicinalProduct.Contraindication.PopulationSpecifics.Gender","MedicinalProduct.Contraindication.PopulationSpecifics.Gender","","","",0,1,"","","","CodeableConcept {[]} {[]}
","9.9.2.5.5","9.9.2.5.5","","","","","","","","","",,,,,"",,,,"MedicinalProduct.Contraindication.PopulationSpecifics.Gender",0,1,"",""
